sensor_id,city,zone_type,pm25,pm10,co2_ppm,temperature_c,humidity_pct,wind_speed_kmh,aqi_value,severity,recorded_at
PKS_MUL_PRK_02,Multan,park,14.61,35.32,471.82,22.44,56.64,25.49,56.3,MODERATE,2026-07-11T19:04:02.968572+00:00
PKS_KHI_IND_01,Karachi,industrial,106.47,155.27,908.67,40.05,65.43,27.21,177.3,UNHEALTHY,2026-07-11T19:04:12.979671+00:00
PKS_KHI_TRF_02,Karachi,traffic,63.69,111.09,610.85,34.93,31.25,58.67,155.2,UNHEALTHY,2026-07-11T19:04:12.979829+00:00
PKS_LHR_RES_01,Lahore,residential,50.8,72.04,478.26,26.96,49.62,17.65,138.7,UNHEALTHY,2026-07-11T19:04:12.979895+00:00
PKS_LHR_IND_02,Lahore,industrial,139.29,148.3,619.38,33.72,43.42,50.24,194.3,UNHEALTHY,2026-07-11T19:04:12.979951+00:00
PKS_ISB_PRK_01,Islamabad,park,18.11,54.77,499.03,30.11,62.85,25.97,63.6,MODERATE,2026-07-11T19:04:12.980008+00:00
PKS_ISB_TRF_02,Islamabad,traffic,75.38,92.91,561.23,27.23,32.07,21.59,161.3,UNHEALTHY,2026-07-11T19:04:12.980060+00:00
PKS_PEW_IND_01,Peshawar,industrial,93.26,110.97,795.52,38.36,32.65,18.01,170.5,UNHEALTHY,2026-07-11T19:04:12.980114+00:00
PKS_PEW_RES_02,Peshawar,residential,44.25,64.82,529.27,35.08,87.36,32.49,122.5,UNHEALTHY,2026-07-11T19:04:12.980166+00:00
PKS_MUL_TRF_01,Multan,traffic,81.45,95.16,672.72,42.35,26.13,43.23,164.4,UNHEALTHY,2026-07-11T19:04:12.980217+00:00
PKS_MUL_PRK_02,Multan,park,13.68,61.54,444.45,31.71,64.86,45.24,54.3,MODERATE,2026-07-11T19:04:12.980274+00:00
PKS_KHI_IND_01,Karachi,industrial,105.52,123.3,653.69,33.2,35.47,15.25,176.8,UNHEALTHY,2026-07-11T19:04:22.990805+00:00
PKS_KHI_TRF_02,Karachi,traffic,58.96,99.01,609.95,41.7,30.78,17.74,152.8,UNHEALTHY,2026-07-11T19:04:22.990969+00:00
PKS_LHR_RES_01,Lahore,residential,56.73,99.61,511.43,28.61,50.23,37.11,151.6,UNHEALTHY,2026-07-11T19:04:22.991036+00:00
PKS_LHR_IND_02,Lahore,industrial,115.39,157.3,780.33,45.0,46.38,27.92,181.9,UNHEALTHY,2026-07-11T19:04:22.991093+00:00
PKS_ISB_PRK_01,Islamabad,park,15.44,37.01,436.83,33.7,80.04,55.42,58.0,MODERATE,2026-07-11T19:04:22.991148+00:00
PKS_ISB_TRF_02,Islamabad,traffic,281.29,323.73,639.11,30.48,25.98,38.48,325.5,HAZARDOUS,2026-07-11T19:04:22.991205+00:00
PKS_PEW_IND_01,Peshawar,industrial,111.5,153.57,702.77,43.96,88.42,55.67,179.9,UNHEALTHY,2026-07-11T19:04:22.991263+00:00
PKS_PEW_RES_02,Peshawar,residential,49.82,57.13,465.29,35.78,23.79,9.0,136.3,UNHEALTHY,2026-07-11T19:04:22.991316+00:00
PKS_MUL_TRF_01,Multan,traffic,185.18,225.37,723.55,34.03,32.61,55.6,235.4,HAZARDOUS,2026-07-11T19:04:22.991371+00:00
PKS_MUL_PRK_02,Multan,park,11.26,33.31,447.12,32.81,67.38,55.22,46.9,GOOD,2026-07-11T19:04:22.991424+00:00
PKS_KHI_IND_01,Karachi,industrial,82.99,94.17,536.1,37.69,36.18,7.0,165.2,UNHEALTHY,2026-07-11T22:18:25.242431+00:00
PKS_KHI_TRF_02,Karachi,traffic,64.58,100.82,400.0,41.26,40.85,8.72,155.7,UNHEALTHY,2026-07-11T22:18:25.242653+00:00
PKS_LHR_RES_01,Lahore,residential,21.38,26.84,400.0,38.76,75.4,56.79,70.5,MODERATE,2026-07-11T22:18:25.242760+00:00
PKS_LHR_IND_02,Lahore,industrial,74.82,106.24,770.29,39.61,83.82,33.41,161.0,UNHEALTHY,2026-07-11T22:18:25.242840+00:00
PKS_ISB_PRK_01,Islamabad,park,16.58,23.01,400.72,23.7,83.39,12.57,60.4,MODERATE,2026-07-11T22:18:25.242916+00:00
PKS_ISB_TRF_02,Islamabad,traffic,54.69,60.12,549.24,33.44,22.76,2.86,148.3,UNHEALTHY,2026-07-11T22:18:25.242992+00:00
PKS_PEW_IND_01,Peshawar,industrial,68.55,93.27,604.46,33.07,27.99,48.59,157.7,UNHEALTHY,2026-07-11T22:18:25.243077+00:00
PKS_PEW_RES_02,Peshawar,residential,24.47,72.93,400.0,38.14,80.65,46.8,77.0,MODERATE,2026-07-11T22:18:25.243175+00:00
PKS_MUL_TRF_01,Multan,traffic,50.71,80.46,514.64,36.85,26.95,16.12,138.4,UNHEALTHY,2026-07-11T22:18:25.243285+00:00
PKS_MUL_PRK_02,Multan,park,7.53,43.7,400.0,33.11,22.8,7.56,31.4,GOOD,2026-07-11T22:18:25.243348+00:00
PKS_KHI_IND_01,Karachi,industrial,82.55,129.22,567.81,33.3,43.29,4.01,165.0,UNHEALTHY,2026-07-11T22:18:35.248605+00:00
PKS_KHI_TRF_02,Karachi,traffic,57.85,100.46,633.88,33.39,14.2,1.9,152.2,UNHEALTHY,2026-07-11T22:18:35.248883+00:00
PKS_LHR_RES_01,Lahore,residential,140.19,156.63,400.0,28.58,16.61,0.61,194.7,UNHEALTHY,2026-07-11T22:18:35.249063+00:00
PKS_LHR_IND_02,Lahore,industrial,82.39,120.52,642.92,34.26,25.2,26.8,164.9,UNHEALTHY,2026-07-11T22:18:35.249332+00:00
PKS_ISB_PRK_01,Islamabad,park,9.65,33.07,400.0,23.7,29.51,9.47,40.2,GOOD,2026-07-11T22:18:35.249417+00:00
PKS_ISB_TRF_02,Islamabad,traffic,53.05,77.75,571.11,33.19,28.15,58.74,144.2,UNHEALTHY,2026-07-11T22:18:35.249476+00:00
PKS_PEW_IND_01,Peshawar,industrial,78.05,95.06,631.34,37.07,16.36,11.93,162.6,UNHEALTHY,2026-07-11T22:18:35.249599+00:00
PKS_PEW_RES_02,Peshawar,residential,30.04,47.56,400.0,34.19,79.82,22.04,88.7,MODERATE,2026-07-11T22:18:35.249725+00:00
PKS_MUL_TRF_01,Multan,traffic,156.61,171.04,590.27,32.57,52.9,55.67,207.1,HAZARDOUS,2026-07-11T22:18:35.249821+00:00
PKS_MUL_PRK_02,Multan,park,10.97,46.55,400.0,30.33,67.2,54.38,45.7,GOOD,2026-07-11T22:18:35.249914+00:00
PKS_KHI_IND_01,Karachi,industrial,61.88,111.4,651.8,36.89,84.99,28.93,154.3,UNHEALTHY,2026-07-11T22:18:45.260581+00:00
PKS_KHI_TRF_02,Karachi,traffic,54.66,91.71,542.58,25.13,76.25,20.29,148.2,UNHEALTHY,2026-07-11T22:18:45.260716+00:00
PKS_LHR_RES_01,Lahore,residential,143.75,170.47,400.0,32.97,43.09,33.48,196.6,UNHEALTHY,2026-07-11T22:18:45.260812+00:00
PKS_LHR_IND_02,Lahore,industrial,86.52,101.23,718.9,36.34,40.74,46.47,167.0,UNHEALTHY,2026-07-11T22:18:45.260875+00:00
PKS_ISB_PRK_01,Islamabad,park,12.91,23.01,400.0,26.5,56.63,3.04,52.7,MODERATE,2026-07-11T22:18:45.260933+00:00
PKS_ISB_TRF_02,Islamabad,traffic,52.14,68.0,474.56,26.37,42.26,46.64,142.0,UNHEALTHY,2026-07-11T22:18:45.260975+00:00
PKS_PEW_IND_01,Peshawar,industrial,240.97,252.81,737.77,40.98,55.16,32.25,290.7,HAZARDOUS,2026-07-11T22:18:45.261016+00:00
PKS_PEW_RES_02,Peshawar,residential,44.57,94.29,400.0,27.1,28.18,57.34,123.3,UNHEALTHY,2026-07-11T22:18:45.261075+00:00
PKS_MUL_TRF_01,Multan,traffic,48.83,79.08,594.08,34.46,46.65,12.19,133.8,UNHEALTHY,2026-07-11T22:18:45.261120+00:00
PKS_MUL_PRK_02,Multan,park,12.25,20.56,400.0,30.3,55.38,12.37,51.3,MODERATE,2026-07-11T22:18:45.261159+00:00
PKS_KHI_IND_01,Karachi,industrial,303.16,336.97,810.32,33.96,62.27,34.05,342.9,HAZARDOUS,2026-07-11T22:18:55.265757+00:00
PKS_KHI_TRF_02,Karachi,traffic,210.12,218.16,515.58,35.07,45.65,17.55,260.1,HAZARDOUS,2026-07-11T22:18:55.265887+00:00
PKS_LHR_RES_01,Lahore,residential,68.3,100.41,400.0,25.62,57.81,20.66,157.6,UNHEALTHY,2026-07-11T22:18:55.265942+00:00
PKS_LHR_IND_02,Lahore,industrial,260.95,274.29,529.1,45.0,52.73,10.33,309.3,HAZARDOUS,2026-07-11T22:18:55.265991+00:00
PKS_ISB_PRK_01,Islamabad,park,15.55,36.96,400.0,30.32,26.79,33.21,58.3,MODERATE,2026-07-11T22:18:55.266040+00:00
PKS_ISB_TRF_02,Islamabad,traffic,73.74,97.06,588.77,39.57,56.79,1.09,160.4,UNHEALTHY,2026-07-11T22:18:55.266107+00:00
PKS_PEW_IND_01,Peshawar,industrial,96.35,109.14,587.71,35.31,15.9,58.64,172.1,UNHEALTHY,2026-07-11T22:18:55.266148+00:00
PKS_PEW_RES_02,Peshawar,residential,87.32,111.35,410.42,36.93,86.37,11.06,167.4,UNHEALTHY,2026-07-11T22:18:55.266189+00:00
PKS_MUL_TRF_01,Multan,traffic,157.08,174.2,451.25,29.8,15.81,29.68,207.5,HAZARDOUS,2026-07-11T22:18:55.266227+00:00
PKS_MUL_PRK_02,Multan,park,16.72,39.99,400.0,32.72,60.42,16.41,60.7,MODERATE,2026-07-11T22:18:55.266267+00:00
PKS_KHI_IND_01,Karachi,industrial,69.01,98.53,692.31,34.01,44.35,55.05,158.0,UNHEALTHY,2026-07-11T22:19:05.273095+00:00
PKS_KHI_TRF_02,Karachi,traffic,52.27,89.0,511.9,38.62,77.02,1.66,142.3,UNHEALTHY,2026-07-11T22:19:05.273229+00:00
PKS_LHR_RES_01,Lahore,residential,97.97,127.02,400.0,23.33,69.89,59.76,172.9,UNHEALTHY,2026-07-11T22:19:05.273315+00:00
PKS_LHR_IND_02,Lahore,industrial,237.97,265.69,538.18,41.57,26.28,47.13,287.7,HAZARDOUS,2026-07-11T22:19:05.273396+00:00
PKS_ISB_PRK_01,Islamabad,park,7.7,15.86,400.0,24.42,48.03,44.64,32.1,GOOD,2026-07-11T22:19:05.273467+00:00
PKS_ISB_TRF_02,Islamabad,traffic,59.83,67.71,601.11,41.15,34.12,2.74,153.2,UNHEALTHY,2026-07-11T22:19:05.273528+00:00
PKS_PEW_IND_01,Peshawar,industrial,81.03,122.25,697.41,31.38,69.91,59.05,164.2,UNHEALTHY,2026-07-11T22:19:05.273585+00:00
PKS_PEW_RES_02,Peshawar,residential,28.97,43.02,400.0,34.03,57.97,38.51,86.5,MODERATE,2026-07-11T22:19:05.273648+00:00
PKS_MUL_TRF_01,Multan,traffic,59.95,70.22,573.94,30.17,80.23,14.23,153.3,UNHEALTHY,2026-07-11T22:19:05.273716+00:00
PKS_MUL_PRK_02,Multan,park,8.14,55.45,400.0,28.69,69.96,9.1,33.9,GOOD,2026-07-11T22:19:05.273758+00:00
PKS_KHI_IND_01,Karachi,industrial,73.36,100.69,556.96,40.38,38.4,24.08,160.2,UNHEALTHY,2026-07-11T22:19:15.282086+00:00
PKS_KHI_TRF_02,Karachi,traffic,64.06,104.82,579.55,42.37,47.39,24.19,155.4,UNHEALTHY,2026-07-11T22:19:15.282297+00:00
PKS_LHR_RES_01,Lahore,residential,31.71,37.43,400.0,34.89,56.27,17.82,92.2,MODERATE,2026-07-11T22:19:15.282356+00:00
PKS_LHR_IND_02,Lahore,industrial,100.73,124.91,733.42,35.54,28.34,34.98,174.4,UNHEALTHY,2026-07-11T22:19:15.282407+00:00
PKS_ISB_PRK_01,Islamabad,park,14.1,52.36,400.0,38.56,50.75,26.76,55.2,MODERATE,2026-07-11T22:19:15.282456+00:00
PKS_ISB_TRF_02,Islamabad,traffic,40.77,76.66,518.16,39.54,31.76,15.62,114.0,UNHEALTHY,2026-07-11T22:19:15.282506+00:00
PKS_PEW_IND_01,Peshawar,industrial,256.14,299.05,670.28,27.49,68.29,20.48,305.5,HAZARDOUS,2026-07-11T22:19:15.282552+00:00
PKS_PEW_RES_02,Peshawar,residential,46.05,68.52,423.27,31.08,37.86,52.61,127.0,UNHEALTHY,2026-07-11T22:19:15.282602+00:00
PKS_MUL_TRF_01,Multan,traffic,71.91,82.11,551.44,25.51,44.17,23.21,159.5,UNHEALTHY,2026-07-11T22:19:15.282651+00:00
PKS_MUL_PRK_02,Multan,park,13.17,31.96,400.0,24.58,62.16,6.24,53.3,MODERATE,2026-07-11T22:19:15.282698+00:00
PKS_KHI_IND_01,Karachi,industrial,82.7,94.24,459.05,40.27,12.18,47.15,165.0,UNHEALTHY,2026-07-12T00:02:49.672259+00:00
PKS_KHI_TRF_02,Karachi,traffic,161.53,198.94,417.48,31.49,49.08,19.26,211.9,HAZARDOUS,2026-07-12T00:02:49.672355+00:00
PKS_LHR_RES_01,Lahore,residential,26.5,50.09,400.0,33.99,41.25,8.69,81.3,MODERATE,2026-07-12T00:02:49.672390+00:00
PKS_LHR_IND_02,Lahore,industrial,75.1,114.93,625.45,43.88,49.94,31.44,161.1,UNHEALTHY,2026-07-12T00:02:49.672408+00:00
PKS_ISB_PRK_01,Islamabad,park,12.26,39.85,400.0,33.38,53.86,12.8,51.3,MODERATE,2026-07-12T00:02:49.672425+00:00
PKS_ISB_TRF_02,Islamabad,traffic,46.63,72.07,514.34,33.92,47.46,9.62,128.4,UNHEALTHY,2026-07-12T00:02:49.672440+00:00
PKS_PEW_IND_01,Peshawar,industrial,64.52,86.64,507.11,45.0,71.63,23.72,155.7,UNHEALTHY,2026-07-12T00:02:49.672454+00:00
PKS_PEW_RES_02,Peshawar,residential,81.97,118.05,400.0,34.2,46.36,17.61,164.7,UNHEALTHY,2026-07-12T00:02:49.672469+00:00
PKS_MUL_TRF_01,Multan,traffic,47.43,60.79,516.48,30.33,47.94,55.61,130.4,UNHEALTHY,2026-07-12T00:02:49.672484+00:00
PKS_MUL_PRK_02,Multan,park,6.47,40.9,400.0,34.13,57.87,17.89,27.0,GOOD,2026-07-12T00:02:49.672498+00:00
PKS_KHI_IND_01,Karachi,industrial,93.7,142.76,704.92,33.99,77.64,55.79,170.7,UNHEALTHY,2026-07-12T00:02:59.680239+00:00
PKS_KHI_TRF_02,Karachi,traffic,48.27,71.92,404.65,35.39,23.92,19.75,132.4,UNHEALTHY,2026-07-12T00:02:59.680357+00:00
PKS_LHR_RES_01,Lahore,residential,117.8,123.3,400.0,37.01,71.59,22.0,183.2,UNHEALTHY,2026-07-12T00:02:59.680412+00:00
PKS_LHR_IND_02,Lahore,industrial,59.55,107.07,597.53,45.0,44.67,48.85,153.1,UNHEALTHY,2026-07-12T00:02:59.680445+00:00
PKS_ISB_PRK_01,Islamabad,park,8.43,57.08,400.0,28.13,41.74,30.11,35.1,GOOD,2026-07-12T00:02:59.680472+00:00
PKS_ISB_TRF_02,Islamabad,traffic,46.45,86.27,461.48,36.13,80.3,37.04,128.0,UNHEALTHY,2026-07-12T00:02:59.680500+00:00
PKS_PEW_IND_01,Peshawar,industrial,90.73,114.81,451.41,37.23,80.15,48.09,169.2,UNHEALTHY,2026-07-12T00:02:59.680531+00:00
PKS_PEW_RES_02,Peshawar,residential,73.4,119.68,400.0,35.8,80.0,32.71,160.2,UNHEALTHY,2026-07-12T00:02:59.680561+00:00
PKS_MUL_TRF_01,Multan,traffic,55.54,82.25,545.61,42.01,84.47,24.09,151.0,UNHEALTHY,2026-07-12T00:02:59.680590+00:00
PKS_MUL_PRK_02,Multan,park,10.4,47.81,400.0,24.73,22.31,19.15,43.3,GOOD,2026-07-12T00:02:59.680617+00:00
PKS_KHI_IND_01,Karachi,industrial,89.12,105.42,431.34,36.91,48.45,51.26,168.4,UNHEALTHY,2026-07-12T00:03:09.732336+00:00
PKS_KHI_TRF_02,Karachi,traffic,49.11,83.11,417.99,34.51,69.04,20.54,134.5,UNHEALTHY,2026-07-12T00:03:09.732450+00:00
PKS_LHR_RES_01,Lahore,residential,21.58,40.55,400.0,32.53,70.85,26.99,70.9,MODERATE,2026-07-12T00:03:09.732482+00:00
PKS_LHR_IND_02,Lahore,industrial,240.33,252.0,667.23,35.27,12.24,7.41,290.0,HAZARDOUS,2026-07-12T00:03:09.732510+00:00
PKS_ISB_PRK_01,Islamabad,park,10.85,60.49,400.0,21.54,10.37,41.22,45.2,GOOD,2026-07-12T00:03:09.732538+00:00
PKS_ISB_TRF_02,Islamabad,traffic,46.37,51.53,422.55,31.29,15.44,42.15,127.8,UNHEALTHY,2026-07-12T00:03:09.732564+00:00
PKS_PEW_IND_01,Peshawar,industrial,86.32,125.54,666.44,41.65,87.77,42.42,166.9,UNHEALTHY,2026-07-12T00:03:09.732594+00:00
PKS_PEW_RES_02,Peshawar,residential,32.69,51.68,400.0,23.72,31.1,3.07,94.3,MODERATE,2026-07-12T00:03:09.732620+00:00
PKS_MUL_TRF_01,Multan,traffic,62.75,91.94,421.57,34.48,36.9,16.94,154.7,UNHEALTHY,2026-07-12T00:03:09.732644+00:00
PKS_MUL_PRK_02,Multan,park,20.58,69.5,400.0,38.53,38.69,1.29,68.8,MODERATE,2026-07-12T00:03:09.732670+00:00
PKS_KHI_IND_01,Karachi,industrial,84.47,107.45,499.46,32.12,29.96,16.78,166.0,UNHEALTHY,2026-07-12T00:03:19.734870+00:00
PKS_KHI_TRF_02,Karachi,traffic,41.97,78.72,508.4,33.24,26.77,46.6,116.9,UNHEALTHY,2026-07-12T00:03:19.734986+00:00
PKS_LHR_RES_01,Lahore,residential,23.4,53.07,400.0,26.33,28.05,38.82,74.8,MODERATE,2026-07-12T00:03:19.735019+00:00
PKS_LHR_IND_02,Lahore,industrial,83.17,123.99,539.68,28.17,87.13,59.35,165.3,UNHEALTHY,2026-07-12T00:03:19.735048+00:00
PKS_ISB_PRK_01,Islamabad,park,7.15,30.39,400.0,35.77,45.22,13.72,29.8,GOOD,2026-07-12T00:03:19.735075+00:00
PKS_ISB_TRF_02,Islamabad,traffic,185.1,217.54,491.83,36.97,64.16,14.61,235.3,HAZARDOUS,2026-07-12T00:03:19.735101+00:00
PKS_PEW_IND_01,Peshawar,industrial,60.7,84.31,400.0,31.49,52.13,50.21,153.7,UNHEALTHY,2026-07-12T00:03:19.735127+00:00
PKS_PEW_RES_02,Peshawar,residential,104.9,141.66,415.38,34.74,34.41,45.66,176.5,UNHEALTHY,2026-07-12T00:03:19.735152+00:00
PKS_MUL_TRF_01,Multan,traffic,50.68,85.94,491.4,31.21,88.93,10.62,138.4,UNHEALTHY,2026-07-12T00:03:19.735178+00:00
PKS_MUL_PRK_02,Multan,park,27.15,40.89,400.0,32.92,87.91,12.61,82.7,MODERATE,2026-07-12T00:03:19.735203+00:00
